SelectionSort,../dados/pequeno.bin,232,312487500,24999
SelectionSortOptimized,../dados/pequeno.bin,205,312487500,24992
BubbleSort,../dados/pequeno.bin,1434,312487500,154343893
BubbleSortOptimized,../dados/pequeno.bin,1379,312481395,154343893
InsertionSort,../dados/pequeno.bin,256,154368881,154343893
SelectionSort,../dados/medio.bin,3775,6049945000,109999
SelectionSortOptimized,../dados/medio.bin,3864,6049945000,109983
BubbleSort,../dados/medio.bin,30245,6049945000,3029222128
BubbleSortOptimized,../dados/medio.bin,28588,6049924497,3029222128
InsertionSort,../dados/medio.bin,4639,3029332115,3029222128
SelectionSort,../dados/grande.bin,24965,36449865000,269999
SelectionSortOptimized,../dados/grande.bin,25112,36449865000,269991
BubbleSort,../dados/grande.bin,191127,36449865000,18231103091
BubbleSortOptimized,../dados/grande.bin,179340,36449463144,18231103091
InsertionSort,../dados/grande.bin,32131,18231373073,18231103091
